rank,company,fortune_ticker,sec_ticker,cik,cik_padded,sec_name,edgar_submissions_api,edgar_companyfacts_api,edgar_companyconcept_revenues_api,edgar_filings_browse,status,match_source
226,Cheniere Energy,LNG,LNG,3570,0000003570,"Cheniere Energy, Inc.",https://data.sec.gov/submissions/CIK0000003570.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000003570.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000003570/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000003570&type=&dateb=&owner=include&count=40,matched,company_tickers_json
227,Parker-Hannifin,PH,PH,76334,0000076334,Parker-Hannifin Corp,https://data.sec.gov/submissions/CIK0000076334.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000076334.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000076334/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000076334&type=&dateb=&owner=include&count=40,matched,company_tickers_json
228,KKR,KKR,KKR,1404912,0001404912,KKR & Co. Inc.,https://data.sec.gov/submissions/CIK0001404912.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001404912.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001404912/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001404912&type=&dateb=&owner=include&count=40,matched,company_tickers_json
229,Dollar Tree,DLTR,DLTR,935703,0000935703,"DOLLAR TREE, INC.",https://data.sec.gov/submissions/CIK0000935703.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000935703.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000935703/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000935703&type=&dateb=&owner=include&count=40,matched,company_tickers_json
230,Murphy USA,MUSA,MUSA,1573516,0001573516,Murphy USA Inc.,https://data.sec.gov/submissions/CIK0001573516.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001573516.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001573516/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001573516&type=&dateb=&owner=include&count=40,matched,company_tickers_json
231,Edison International,EIX,EIX,827052,0000827052,EDISON INTERNATIONAL,https://data.sec.gov/submissions/CIK0000827052.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000827052.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000827052/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000827052&type=&dateb=&owner=include&count=40,matched,company_tickers_json
232,Republic Services,RSG,RSG,1060391,0001060391,"REPUBLIC SERVICES, INC.",https://data.sec.gov/submissions/CIK0001060391.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001060391.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001060391/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001060391&type=&dateb=&owner=include&count=40,matched,company_tickers_json
233,AutoZone,AZO,AZO,866787,0000866787,AUTOZONE INC,https://data.sec.gov/submissions/CIK0000866787.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000866787.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000866787/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000866787&type=&dateb=&owner=include&count=40,matched,company_tickers_json
234,Ameriprise Financial,AMP,AMP,820027,0000820027,AMERIPRISE FINANCIAL INC,https://data.sec.gov/submissions/CIK0000820027.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000820027.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000820027/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000820027&type=&dateb=&owner=include&count=40,matched,company_tickers_json
235,Intuit,INTU,INTU,896878,0000896878,INTUIT INC.,https://data.sec.gov/submissions/CIK0000896878.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000896878.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000896878/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000896878&type=&dateb=&owner=include&count=40,matched,company_tickers_json
236,SpaceX,SPCX,SPCX,1181412,0001181412,SPACE EXPLORATION TECHNOLOGIES CORP,https://data.sec.gov/submissions/CIK0001181412.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001181412.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001181412/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001181412&type=&dateb=&owner=include&count=40,matched,company_tickers_json
237,Cleveland-Cliffs,CLF,CLF,764065,0000764065,CLEVELAND-CLIFFS INC.,https://data.sec.gov/submissions/CIK0000764065.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000764065.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000764065/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000764065&type=&dateb=&owner=include&count=40,matched,company_tickers_json
238,Global Partners,GLP,GLP,1323468,0001323468,GLOBAL PARTNERS LP,https://data.sec.gov/submissions/CIK0001323468.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001323468.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001323468/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001323468&type=&dateb=&owner=include&count=40,matched,company_tickers_json
239,Aramark,ARMK,ARMK,1584509,0001584509,Aramark,https://data.sec.gov/submissions/CIK0001584509.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001584509.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001584509/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001584509&type=&dateb=&owner=include&count=40,matched,company_tickers_json
